"license-plate-number";"customer-return-date";"asin";"sku";"Brand";"Product Name";"amazon-order-id";"quantity";"Collection_Order";"delivery-date-biarritz";"device-serial-number";"item-status";"RMA KP";"ID ";"RMA batch";"LaRoca"
"LPNHE581022435";27/09/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"407-9271043-4046738";1;;;"A1002105W54-2A-1B-BB-29-2C-A";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE581916031";09/09/2021;"B08YXBSP6X";"SNS-ROAM1R21BLK";"SONOS";"SONOS ROAM BLACK";"407-4027321-3230743";1;;;"A1002103WC54-2A-1B-45-1A-4A-9";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE562775553";10/08/2021;"B08YXBSP6X";"SNS-ROAM1R21BLK";"SONOS";"SONOS ROAM BLACK";"402-6085854-9213107";1;;;"A1002104WC54-2A-1B-4A-1F-A2-5";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE553323072";21/07/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"405-3509836-2645125";1;;;"A1002102WC54-2A-1B-40-F7-D8-A";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE581276947";02/09/2021;"B091V6LDLS";"SNS-RMWCHEU1BLK";"SONOS";"SONOS ROAM CHARGER BLACK";"407-4642318-5318746";1;;;;"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE569569673";13/07/2021;"B091V4NNKW";"SNS-RMWCHEU1";"SONOS";"SONOS ROAM CHARGER WHITE";"405-7361271-9788365";1;;;;"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE569503273";22/09/2021;"B08BGCTZLY";"SNS-MOVE1EU1";"SONOS";"SONOS MOVE WHITE";"403-6896633-3941912";1;;;"A1012105WC54-2A-1B-76-D2-A6-B";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE569503641";27/09/2021;"B07P9VM3B7";"SNS-ONEG2EU1";"SONOS";"SONOS ONE WHITE";"404-3926711-8431535";1;;;"A2012106CP54-2A-1B-F3-1B-A0-F";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE562596334";28/08/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"402-7901957-2853951";1;;;"A1002102W54-2A-1B-41-00-7E-E";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE570002513";19/07/2021;"B08YWWY5TD";"SNS-ROAM1R21";"SONOS";"SONOS ROAM WHITE";"408-8840922-3523548";1;;;"A1002102WC54-2A-1B-40-F4-4C-3";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
"LPNHE553118719";09/07/2021;"B08YXBSP6X";"SNS-ROAM1R21BLK";"SONOS";"SONOS ROAM BLACK";"405-6561199-6523510";1;;;"A1002102W54-2A-1B-40-B1-FA-B";"Used";"yes";"PRG211124747659 ";25/11/2021;"x"
